timeOpen;timeClose;timeHigh;timeLow;name;open;high;low;close;volume;marketCap;circulatingSupply;timestamp
"2026-01-12T00:00:00.000Z";"2026-01-18T23:59:59.999Z";"2026-01-14T20:13:00.000Z";"2026-01-12T14:26:00.000Z";"2781";90825.8560825378;97860.6038029774;90055.0223259572;93634.431951609;280085470492.28;1871022219173.61;19977671;"2026-01-18T23:59:59.999Z"
"2026-01-05T00:00:00.000Z";"2026-01-11T23:59:59.999Z";"2026-01-05T20:30:00.000Z";"2026-01-08T14:46:00.000Z";"2781";91414.6286470278;94762.0680922804;89233.8762529428;90827.4598333957;259512375534.51;1814215503631.77;19974659;"2026-01-11T23:59:59.999Z"
"2025-12-29T00:00:00.000Z";"2026-01-04T23:59:59.999Z";"2026-01-04T06:24:00.000Z";"2025-12-29T12:16:00.000Z";"2781";87835.7913322809;91712.5829741808;86717.915377135;91413.4925215554;230621462809.39;1825699779828.25;19971637;"2026-01-04T23:59:59.999Z"
"2025-12-22T00:00:00.000Z";"2025-12-28T23:59:59.999Z";"2025-12-22T12:34:00.000Z";"2025-12-24T14:40:00.000Z";"2781";88621.4013531003;90501.9307541589;86411.799089194;87835.8335114813;198587430132.02;1753950316755.53;19968515;"2025-12-28T23:59:59.999Z"
"2025-12-15T00:00:00.000Z";"2025-12-21T23:59:59.999Z";"2025-12-17T15:16:00.000Z";"2025-12-18T20:01:00.000Z";"2781";88171.0803769972;90264.5691392445;84436.3154612838;88621.7504151012;264999230687.3;1769352244085.25;19965293;"2025-12-21T23:59:59.999Z"
"2025-12-08T00:00:00.000Z";"2025-12-14T23:59:59.999Z";"2025-12-09T17:07:00.000Z";"2025-12-14T23:34:00.000Z";"2781";90424.5857615628;94601.5708108212;87634.9370678687;88175.177409907;449188954527.69;1760088123504.14;19962193;"2025-12-14T23:59:59.999Z"
"2025-12-01T00:00:00.000Z";"2025-12-07T23:59:59.999Z";"2025-12-03T23:03:00.000Z";"2025-12-01T15:46:00.000Z";"2781";90389.1097979024;94060.7728133688;83862.2485209906;90405.6385108749;457343640300.04;1804784849762.55;19959006;"2025-12-07T23:59:59.999Z"
"2025-11-24T00:00:00.000Z";"2025-11-30T23:59:59.999Z";"2025-11-28T14:31:00.000Z";"2025-11-24T14:51:00.000Z";"2781";86798.7713103499;92969.0865280849;85272.1961643306;90394.308947817;400123670981.72;1803803900068.52;19955987;"2025-11-30T23:59:59.999Z"
"2025-11-17T00:00:00.000Z";"2025-11-23T23:59:59.999Z";"2025-11-17T08:26:00.000Z";"2025-11-21T12:30:00.000Z";"2781";94180.8763285011;95928.3695793783;80659.8124264662;86805.008075552;659958211589.46;1731864376001.43;19952637;"2025-11-23T23:59:59.999Z"
"2025-11-10T00:00:00.000Z";"2025-11-16T23:59:59.999Z";"2025-11-11T01:23:00.000Z";"2025-11-16T22:12:00.000Z";"2781";104723.7707145405;107428.2598485873;92971.1655619193;94177.0744808859;530543355033.59;1878796595872.52;19948812;"2025-11-16T23:59:59.999Z"
"2025-11-03T00:00:00.000Z";"2025-11-09T23:59:59.999Z";"2025-11-03T00:11:00.000Z";"2025-11-04T21:37:00.000Z";"2781";110646.9053337829;110764.9165455239;98962.0641022048;104719.6388959132;528630842984.65;2088873006728.9;19946503;"2025-11-09T23:59:59.999Z"
"2025-10-27T00:00:00.000Z";"2025-11-02T23:59:59.999Z";"2025-10-27T07:07:00.000Z";"2025-10-30T20:00:00.000Z";"2781";114479.8489470502;116273.3142651981;106376.6887666825;110639.6263110151;378401671300.01;2206703485500.82;19943653;"2025-11-02T23:59:59.999Z"
"2025-10-20T00:00:00.000Z";"2025-10-26T23:59:59.999Z";"2025-10-26T22:05:00.000Z";"2025-10-22T21:31:00.000Z";"2781";108667.4438091444;115260.9051483669;106777.9966071258;114472.443362309;415030266271.18;2282777872258.63;19940434;"2025-10-26T23:59:59.999Z"
"2025-10-13T00:00:00.000Z";"2025-10-19T23:59:59.999Z";"2025-10-13T19:55:00.000Z";"2025-10-17T10:25:00.000Z";"2781";115161.6758253635;116020.4864826768;103598.4288513281;108666.7115263266;508815465964.92;2166469140315.34;19936690;"2025-10-19T23:59:59.999Z"
"2025-10-06T00:00:00.000Z";"2025-10-12T23:59:59.999Z";"2025-10-06T18:59:00.000Z";"2025-10-10T21:21:00.000Z";"2781";123510.4499683878;126198.0696034339;104582.41134788;115169.7639246981;645797975711.43;2295493500275.05;19932790;"2025-10-12T23:59:59.999Z"
"2025-09-29T00:00:00.000Z";"2025-10-05T23:59:59.999Z";"2025-10-05T04:53:00.000Z";"2025-09-29T07:27:00.000Z";"2781";112117.8787939277;125559.2087470555;111589.9506804949;123513.4737139671;456130203493;2461341319591.38;19928203;"2025-10-05T23:59:59.999Z"
"2025-09-22T00:00:00.000Z";"2025-09-28T23:59:59.999Z";"2025-09-22T00:13:00.000Z";"2025-09-25T18:02:00.000Z";"2781";115309.222122245;115431.3090850724;108713.3961781124;112122.6391506148;358886641602.49;2234220620825.09;19927425;"2025-09-28T23:59:59.999Z"
"2025-09-15T00:00:00.000Z";"2025-09-21T23:59:59.999Z";"2025-09-18T18:52:00.000Z";"2025-09-15T13:46:00.000Z";"2781";115399.6311438108;117911.7883364225;114461.0631650978;115306.097161289;292893677816.46;2297339763871.24;19923296;"2025-09-21T23:59:59.999Z"
"2025-09-08T00:00:00.000Z";"2025-09-14T23:59:59.999Z";"2025-09-12T19:56:00.000Z";"2025-09-08T02:22:00.000Z";"2781";111163.0177975035;116769.3825253667;110630.6055984677;115407.6544474289;310393050143.17;2298871666829.88;19920962;"2025-09-14T23:59:59.999Z"
"2025-09-01T00:00:00.000Z";"2025-09-07T23:59:59.999Z";"2025-09-05T12:56:00.000Z";"2025-09-01T05:20:00.000Z";"2781";108228.7470722929;113357.4891909155;107271.183408171;111167.6195183032;369258523184.51;2214104302826.17;19917634;"2025-09-07T23:59:59.999Z"
